Date,Open,High,Low,Close,Adj Close,Volume
2011-01-21,57.467464,57.542942,55.852276,56.282490,56.282490,1341300
2011-01-24,56.252300,57.301418,56.199467,56.720253,56.720253,1167700
2011-01-25,56.320229,59.535507,56.320229,58.546772,58.546772,1626900
2011-01-26,58.622250,58.773201,57.490108,57.822201,57.822201,1243600
2011-01-27,57.739178,58.856224,57.565582,57.950512,57.950512,537900
2011-01-28,57.980701,60.358196,56.991966,57.422180,57.422180,1294600
2011-01-31,57.233490,57.354252,55.542828,56.886299,56.886299,860600
2011-02-01,57.180656,58.682629,56.622135,57.799561,57.799561,746200
2011-02-02,57.369347,58.418465,56.259850,57.475014,57.475014,975500
2011-02-03,57.693893,62.146980,57.693893,61.890362,61.890362,1834400
2011-02-04,62.177170,64.139549,62.086601,63.143265,63.143265,1609900
2011-02-07,63.241383,63.581024,62.245098,62.652668,62.652668,729900
2011-02-08,62.614933,65.113190,61.913006,64.630142,64.630142,1071400
2011-02-09,64.162193,68.819061,63.815002,65.905685,65.905685,1916300
2011-02-10,65.618881,68.283180,65.150925,66.766113,66.766113,820800
2011-02-11,66.441566,68.834160,65.603783,68.834160,68.834160,879100
2011-02-14,69.022850,69.271919,67.294449,67.392563,67.392563,615600
2011-02-15,67.128403,67.558617,66.003807,66.600067,66.600067,521000
2011-02-16,67.301994,68.154877,66.743469,67.022736,67.022736,589400
2011-02-17,67.052925,71.543747,67.052925,70.094612,70.094612,1377200
2011-02-18,70.887108,70.887108,68.275635,70.215370,70.215370,972400
2011-02-22,69.468155,70.328583,66.811401,68.049210,68.049210,1005100
2011-02-23,67.724663,68.434135,65.467926,65.837761,65.837761,1138900
2011-02-24,65.460381,65.732094,61.279007,62.192265,62.192265,2222500
2011-02-25,62.305481,63.935764,61.663933,62.720596,62.720596,1355500
2011-02-28,62.441338,63.664047,61.928101,62.879097,62.879097,895600
2011-03-01,62.607384,64.169739,62.086601,62.645123,62.645123,1210000
2011-03-02,62.192265,63.747074,61.618649,63.362144,63.362144,601600
2011-03-03,63.830097,64.494286,63.022503,63.777264,63.777264,623000
2011-03-04,65.286781,66.184952,62.690407,63.973499,63.973499,845000
2011-03-07,64.373520,64.765999,62.577194,62.826263,62.826263,533100
2011-03-08,62.780979,64.562210,62.011124,63.430073,63.430073,631800
2011-03-09,63.286667,64.192383,62.622478,63.724430,63.724430,415000
2011-03-10,62.780979,63.264027,62.267742,62.879097,62.879097,645900
2011-03-11,62.358315,63.762169,61.648838,63.543285,63.543285,589100
2011-03-14,62.984764,63.264027,62.041313,62.539455,62.539455,676100
2011-03-15,60.690292,63.581024,60.320461,62.426243,62.426243,754500
