Date,wagner,oil,mario,pokemon,gold,valentino,romeo
19701002,0,3.39,0,0,36.02,0,35000
19701005,0,3.39,0,0,36.02,0,35000
19701006,0,3.39,0,0,36.02,0,35000
19701007,0,3.39,0,0,36.02,0,35000
19701008,0,3.39,0,0,36.02,0,35000
19701009,0,3.39,0,0,36.02,0,35000
19701012,0,3.39,0,0,36.02,0,35000
19701013,0,3.39,0,0,36.02,0,35000
19701014,0,3.39,0,0,36.02,0,35000
19701015,0,3.39,0,0,36.02,0,35000
19701016,0,3.39,0,0,36.02,0,35000
19701019,0,3.39,0,0,36.02,0,35000
19701020,0,3.39,0,0,36.02,0,35000
19701021,0,3.39,0,0,36.02,0,35000
19701022,0,3.39,0,0,36.02,0,35000
19701023,0,3.39,0,0,36.02,0,35000
19701026,0,3.39,0,0,36.02,0,35000
19701027,0,3.39,0,0,36.02,0,35000
19701028,0,3.39,0,0,36.02,0,35000
19701029,0,3.39,0,0,36.02,0,35000
19701030,0,3.39,0,0,36.02,0,35000
19701102,0,3.39,0,0,36.02,0,35000
19701103,0,3.39,0,0,36.02,0,35000
19701104,0,3.39,0,0,36.02,0,35000
19701105,0,3.39,0,0,36.02,0,35000
19701106,0,3.39,0,0,36.02,0,35000
19701109,0,3.39,0,0,36.02,0,35000
19701110,0,3.39,0,0,36.02,0,35000
19701111,0,3.39,0,0,36.02,0,35000
19701112,0,3.39,0,0,36.02,0,35000
19701113,0,3.39,0,0,36.02,0,35000
19701116,0,3.39,0,0,36.02,0,35000
19701117,0,3.39,0,0,36.02,0,35000
19701118,0,3.39,0,0,36.02,0,35000
19701119,0,3.39,0,0,36.02,0,35000
19701120,0,3.39,0,0,36.02,0,35000
19701123,0,3.39,0,0,36.02,0,35000
19701124,0,3.39,0,0,36.02,0,35000
19701125,0,3.39,0,0,36.02,0,35000
19701127,0,3.39,0,0,36.02,0,35000
19701130,0,3.39,0,0,36.02,0,35000
19701201,0,3.39,0,0,36.02,0,35000
19701202,0,3.39,0,0,36.02,0,35000
19701203,0,3.39,0,0,36.02,0,35000
19701204,0,3.39,0,0,36.02,0,35000
19701207,0,3.39,0,0,36.02,0,35000
19701208,0,3.39,0,0,36.02,0,35000
19701209,0,3.39,0,0,36.02,0,35000
19701210,0,3.39,0,0,36.02,0,35000
19701211,0,3.39,0,0,36.02,0,35000
19701214,0,3.39,0,0,36.02,0,35000
19701215,0,3.39,0,0,36.02,0,35000
19701216,0,3.39,0,0,36.02,0,35000
19701217,0,3.39,0,0,36.02,0,35000
19701218,0,3.39,0,0,36.02,0,35000
19701221,0,3.39,0,0,36.02,0,35000
19701222,0,3.39,0,0,36.02,0,35000
19701223,0,3.39,0,0,36.02,0,35000
19701224,0,3.39,0,0,36.02,0,35000
19701228,0,3.39,0,0,36.02,0,35000
19701229,0,3.39,0,0,36.02,0,35000
19701230,0,3.39,0,0,36.02,0,35000
19701231,0,3.39,0,0,36.02,0,35000
19710104,0,3.6,0,0,40.62,0,35000
19710105,0,3.6,0,0,40.62,0,35000
19710106,0,3.6,0,0,40.62,0,35000
19710107,0,3.6,0,0,40.62,0,35000
19710108,0,3.6,0,0,40.62,0,35000
19710111,0,3.6,0,0,40.62,0,35000
19710112,0,3.6,0,0,40.62,0,35000
19710113,0,3.6,0,0,40.62,0,35000
19710114,0,3.6,0,0,40.62,0,35000
19710115,0,3.6,0,0,40.62,0,35000
19710118,0,3.6,0,0,40.62,0,35000
19710119,0,3.6,0,0,40.62,0,35000
19710120,0,3.6,0,0,40.62,0,35000
19710121,0,3.6,0,0,40.62,0,35000
19710122,0,3.6,0,0,40.62,0,35000
19710125,0,3.6,0,0,40.62,0,35000
19710126,0,3.6,0,0,40.62,0,35000
19710127,0,3.6,0,0,40.62,0,35000
19710128,0,3.6,0,0,40.62,0,35000
19710129,0,3.6,0,0,40.62,0,35000
19710201,0,3.6,0,0,40.62,0,35000
19710202,0,3.6,0,0,40.62,0,35000
19710203,0,3.6,0,0,40.62,0,35000
19710204,0,3.6,0,0,40.62,0,35000
19710205,0,3.6,0,0,40.62,0,35000
19710208,0,3.6,0,0,40.62,0,35000
19710209,0,3.6,0,0,40.62,0,35000
19710210,0,3.6,0,0,40.62,0,35000
19710211,0,3.6,0,0,40.62,0,35000
19710212,0,3.6,0,0,40.62,0,35000
